
// For each schedule (Northwood, North Holland etc) we have a set of numbers that controls the ped densities.
// There is a set of values for each time of the day in 2 hour increments (midnight, 2am, 4 am etc)
// There are 2 sets of values: Weekday & Weekend.
// #MaxCars is a multipler for desired max ambient vehicles compared to normal (200 = twice as many, 50 = half as many)
// #Spacing is a multipler for vehicle density spacing (200 = twice as far, 50 = half as far) Max 255
// #prkdcrs is the maximum number of parked cars you can ever have.
// #lowprkdcrs is the maximum number of low priority parked cars you can ever have.
//


POP_SCHEDULE:
////////////
GEN_EMPTY_SCHEDULE

END_POP_SCHEDULE
////////////////////////////////////////////////////////////////////////////////////


////////START REGIONAL TRAFFIC///////

POP_SCHEDULE:
////////////ROA///
TRAFFIC_ANNESBURG_MAIN_SCHEDULE
// Weekday
//
// #MaxCars #Spacing #prkdcrs #lowprkdcrs #MaxScenVehs #MaxPreAssignedParked
///////////////////////////
//EARLY 	00:00 - 06:00//
///////////////////////////
    25       25       05       00          60           20 cars HORSE_ASB 70 COACH_ASB_RUGGED 30
    25       25       05       00          60           20 cars HORSE_ASB 70 COACH_ASB_RUGGED 30
    50       50       05       00          60           20 cars HORSE_ASB 70 COACH_ASB_RUGGED 30
///////////////////////////
//MORNING	06:00 - 10:00//
///////////////////////////
    75       75       08       00          60           20 cars HORSE_ASB 50 COACH_ASB_SMALL 15 COACH_ASB_RUGGED 35
   100      100       08       00          60           20 cars HORSE_ASB 50 COACH_ASB_SMALL 15 COACH_ASB_RUGGED 35
///////////////////////////
//DAY		10:00 - 20:00//
///////////////////////////
   100      100       08       00          60           20 cars HORSE_ASB 50 COACH_ASB_SMALL 15 COACH_ASB_RUGGED 35
   100      100       08       00          60           20 cars HORSE_ASB 50 COACH_ASB_SMALL 15 COACH_ASB_RUGGED 35
   100      100       08       00          60           20 cars HORSE_ASB 50 COACH_ASB_SMALL 15 COACH_ASB_RUGGED 35
   100      100       08       00          60           20 cars HORSE_ASB 50 COACH_ASB_SMALL 15 COACH_ASB_RUGGED 35
    75       75       05       00          60           20 cars HORSE_ASB 50 COACH_ASB_SMALL 15 COACH_ASB_RUGGED 35
///////////////////////////
//NIGHT		20:00 - 00:00//
///////////////////////////
    75       75       05       00          60           20 cars HORSE_ASB 70 COACH_ASB_RUGGED 30
    50       50       05       00          60           20 cars HORSE_ASB 70 COACH_ASB_RUGGED 30
END_POP_SCHEDULE
////////////////////////////////////////////////////////////////////////////////////

POP_SCHEDULE:
////////////ROA///
TRAFFIC_ANNESBURG_MAIN_SCHEDULE_MP
// Weekday
//
// #MaxCars #Spacing #prkdcrs #lowprkdcrs #MaxScenVehs #MaxPreAssignedParked
///////////////////////////
//EARLY 	00:00 - 06:00//
///////////////////////////
    25       25       05       00          60           20 cars HORSE_ASB 70 COACH_ASB_RUGGED 30
    25       25       05       00          60           20 cars HORSE_ASB 70 COACH_ASB_RUGGED 30
    50       35       05       00          60           20 cars HORSE_ASB 70 COACH_ASB_RUGGED 30
///////////////////////////
